Course Number,Description,Terms Offered,Equivalent Courses,Prerequisites,Instructors
ECON 20770,"This course provides a formal introduction to game theory with applications in economics. We will study models of how individuals make decisions, and how those decisions are shaped by strategic concerns and uncertainty about the world. The topics will include the theory of individual choice, games of complete and incomplete information, and equilibrium concepts such as Nash equilibrium. The applications will include oligopoly, auctions, and bargaining. The course is appropriate for advanced undergraduates who are interested in a rigorous mathematical approach to understanding human behavior.",TBD ,ECMA 30770 ,"Prerequsites for Undergraduates: ECON 20100/ECON 20110 and MATH 20300/MATH 20310/MATH 20700, or consent of instructor ",B. Brooks
ECON 20780,"We continue the formal introduction to decision theory and game theory begun in ECMA 30780, with a specific focus on models of incomplete information. Topics covered include subjective expected utility, Bayesian games, contract theory, and mechanism design. Among the applications we will consider are auctions, collusion, entry deterrence, and strategic communication. The course is appropriate for advanced undergraduates who are interested in a rigorous mathematical approach to decision making in strategic situations.",TBD ,ECMA 30780 ,ECON 20770/ECMA 30770 or consent of instructor ,B. Brooks
ECON 22030,"This course provides an overview of the Chinese economy, with two main focuses. First, we will review the significant reforms that happened in China in the past four decades, which fundamentally reshaped the modern China as we see today. Second, we will discuss some of China's key political and economic institutions, and their implications on China and the rest of the world. Throughout the course, special emphasis will be given to the role of the state in China's growth experience, at both the central- and local-levels.",Spring ,"PBPL 25585, PPHA 35585 ",,"Wang, S"
ECON 26920,"The standard theory of rational choice exhibits explanatory power in a vast range of circumstances, including such disparate decision making environments as whether to commit a crime, have children, or seek to emigrate. Nonetheless, shortfalls from full rationality seem not to be uncommon, and are themselves, to some extent, systematic. Behavioral economics documents and tries to account for these departures from full rationality. This course looks at areas in which some modification of the traditional rational choice apparatus might most be warranted; these include decisions that unfold over time, involve low probability events, or implicate willpower. To what extent should public policy respond to shortfalls from rationality or concern itself with promoting happiness?",Autumn ,PBPL 28805 ,,J. Leitzel
ECON 27000,"This course covers international economics with an emphasis on international trade. The basic theories of international trade are introduced and used to analyze welfare and distributional effects of international trade, government policies, and technology diffusion. In addition, this course also discusses the main empirical patterns of international trade and international investment.",Winter ,PBPL 27000 ,ECON 20100/20110 ,F. Tintelnot
ECON 27700,"This course analyzes the economics of health and medical care in the United States with particular attention to the role of government. The first part of the course examines the demand for health and medical and the structure and the consequences of public and private insurance. The second part of the course examines the supply of medical care, including professional training, specialization and compensation, hospital competition, and finance and the determinants and consequences of technological change in medicine. The course concludes with an examination of recent proposals and initiatives for health care reform. Must have completed PPHA 32300 Principles of Microeconomics and Public Policy I or equivalent to enroll.",Spring ,"PPHA 38300, CCTS 38300, PBPL 28300 ",PBPL 20000 or ECON 20000 and one undergraduate course in quantitative research methods (Statistics or Econometrics) or the equivalent or consent of the instructor ,"Meltzer, D"
ECON 28030,"This is an applied industrial organization course that examines economically regulated market structures. We will analyze: a) types of market structures that particularly generate economic regulation; b) common methods used by regulatory agencies given a particular market structure; and c) models of the supply of and the demand for regulation of markets, with emphasis on maximizing behavior on the part of both suppliers (regulators) and demanders (firms, consumers, political representatives). We will focus on non-financial markets, as financial markets are well-covered in other courses.",Autumn ,PBPL 28670 ,PQ: PBPL 20000 or equivalent ,Kathryn Ierulli
ECON 28620,"The economic system prevailing in most of the world today differs greatly from the idealist version of free markets generally taught in economic classes. This course analyzes the role played by corporate governance, wealth inequality, regulation, the media, and the political process in general in producing these deviations. It will explain why crony capitalism prevails in most of the world and why it is becoming more entrenched also in the United States of America. The course, which requires only basic knowledge of economics, welcomes undergraduates. This is a cross-listed course offered under BUSN 35225 for Booth students and ECON 28620 for non-Booth students. Booth students will bid on BUSN 35225. Non-Booth student can register under ECON 28620 or, if space is available, enroll via the non-Booth registration process for BUSN 35225.ECON 28620 is not eligible for pass/fail.",Spring ,BUSN 35225 ,,L. Zingales
ECON 28700,"This course uses theoretical and empirical economic tools to analyze a wide range of issues related to criminal behavior. Topics include the police, prisons, gang behavior, guns, drugs, capital punishment, labor markets and the macroeconomy, and income inequality. We emphasize the analysis of the optimal role for public policy.",,PBPL 23200 ,"ECON 20100/20110; STAT 23400, ECON 21010, or ECON 21020 strongly recommended ",S. Levitt 
ECMA 30770,"This course provides a formal introduction to game theory with applications in economics. We will study models of how individuals make decisions, and how those decisions are shaped by strategic concerns and uncertainty about the world. The topics will include the theory of individual choice, games of complete and incomplete information, and equilibrium concepts such as Nash equilibrium. The applications will include oligopoly, auctions, and bargaining. The course is appropriate for advanced undergraduates who are interested in a rigorous mathematical approach to understanding human behavior.",TBD ,ECON 20770 ,"Prerequsites for Undergraduates: ECON 20100/ECON 20110 and MATH 20300/MATH 20310/MATH 20700, or consent of instructor ",B. Brooks
ECMA 30780,"We continue the formal introduction to decision theory and game theory begun in ECMA 30780, with a specific focus on models of incomplete information. Topics covered include subjective expected utility, Bayesian games, contract theory, and mechanism design. Among the applications we will consider are auctions, collusion, entry deterrence, and strategic communication. The course is appropriate for advanced undergraduates who are interested in a rigorous mathematical approach to decision making in strategic situations.",TBD ,ECON 20780 ,ECON 20770/ECMA 30770 or consent of instructor ,B. Brooks
ECMA 35550,"This course is designed for those who plan to run a randomized control trial. It provides practical advice about the trade-offs researchers face when selecting topics to study, the type of randomization technique to use, the content of a survey instruments, analytical techniques and much more. How do you choose the right minimum detectable effect size for estimating the sample size needed to run a high quality RCT? How do you quantify difficult to measure outcomes such as women's empowerment or ensure people are providing truthful answers when you are asking questions on sensitive topics like sexual health? When should you tie your hands by pre-committing to your analysis plan in advance, and when is a pre-analysis plan not a good idea? This course will draw on lots of examples from RCTs around the world, most (though not all) from a development context. Alongside field tips, it will also cover the concepts and theory behind the tradeoffs researchers face running RCTs. The course is designed for PhD students but given its practical nature is open to and accessible to masters students who plan to work on RCTs.",Autumn ,"ECON 35550, PPHA 35561 ",,"Glennerster, Rachel"
ECMA 36700,"This course explores economic models of the demand for and supply of different forms of schooling. The course examines the markets for primary, secondary, and post-secondary schooling. The course examines numerous public policy questions, such as the role of government in funding or subsidizing education, the design of public accountability systems, the design of systems that deliver publicly funded (and possibly provided) education, and the relationship between education markets and housing markets.",,"EDSO 26700, PBPL 26705 ",ECON 21020 or ECON 21030 ,D. Neal 
ECON 12300,"Most of us seek to be reasonably good people leading what we take to be successful and satisfying lives. There is a mountain of evidence suggesting that most of us fail to live up to our own standards. Worse, we often fail to mark our own failures in ways that could help us improve ourselves. The context in which we try to live good lives is shaped by the vicissitudes of the global economy. The global economy is obviously of interest to those of us studying economics or planning on careers in business. Aspiring entrepreneurs or corporate leaders have clear stakes in understanding practical wisdom in the economic sphere. But anyone who relies upon her pay - or someone else's - to cover her living expenses has some interest in economic life. In this course, we will bring work in neo-Aristotelian ethics and neo-classical economics into conversation with empirical work from behavioral economics and behavioral ethics, to read, write, talk, and think about cultivating wisdom in our economic dealings. While our focus will be on business, the kinds of problems we will consider, and the ways of addressing these, occur in ordinary life more generally - at home, in academic settings, and in our efforts to participate in the daily production and reproduction of sound modes of social interaction. (A)",Winter ,PHIL 24098 ,,Candace Vogler
ECON 13110,"This course will examine the choices households make about important financial decisions and how these individual choices can impact the aggregate economy. Each week, basic predictions from economic theory will be discussed and compared with empirical findings. Topics will include: asset market participation and household portfolio choice; human capital and student loans; housing and mortgages; retirement planning; credit card debt; payday loans; and the gig/sharing economy. Focus will also be placed on government policies affecting these topics, including so-called household financial engineering, the creation of Government Sponsored Enterprises (GSEs) like ""Fannie"" and ""Freddie,"" and regulatory agencies like the Consumer Financial Protection Bureau (CFPB). The course will provide an introduction to structural modeling for conducting policy counterfactuals. Assessment will be based on problem sets, a midterm and a final. These problem sets will require students to work in R, Stata or other statistical package of the student's choice (with permission of instructor).",Spring ,PBPL 28528 ,,D. Koustas
ECON 14020,"In this course we will explore standard models that form the core of labor economics including labor supply, labor demand, job search models, wage setting, discrimination, and migration. For each topic we will then examine empirical applications of these models with a focus on middle and low-income countries. We will discuss how these traditional models are useful, or not, in understanding labor market outcomes in these settings and how they can be expanded to better capture relevant features of labor markets outside high-income countries.",Winter ,PBPL 25640 ,,"Lane, Gregory"
ECON 14520,"In this class, students will engage basic issues, conflicts, and innovative field research in economics of gender in international contexts. In particular, we will review theoretical foundations, data and methods of research, and a review of recent work in international research related to economics of gender. At the end of the course, you will have a suite of research approaches, topics, and methods, to investigate gender differences in a variety of economic outcomes and contexts.",Winter ,GNSE 22520 ,ECON 10000 or ECON 20000 or ECON 20010 or PBPL 22200. STAT 22000 also recommended. ,A. Gonzalez
ECON 16520,"This course combines basic microeconomic theory and tools with contemporary environmental and resources issues and controversies to examine and analyze public policy decisions. Theoretical points include externalities, public goods, common-property resources, valuing resources, benefit/cost analysis, and risk assessment. Topics include pollution, global climate change, energy use and conservation, recycling and waste management, endangered species and biodiversity, nonrenewable resources, congestion, economic growth and the environment, and equity impacts of public policies.",Autumn ,"ENST 21800, CEGU 21800, PBPL 21800 ","ECON 10000 or higher, or PBPL 20000 ",S. Shaikh
ECON 16710,"This course covers policy issues related to education in developing contexts.  We will analyze education policies and reforms, develop skills to be a critical consumer of relevant research on each topic, and examine implications of the findings to policy and practice.  Topics include discrimination and inclusion in education, understanding factors that influence educational decisions, provision of basic needs in schools, teacher pay and incentives, education in emergency settings, and school choice.",Winter ,"EDSO 28350, PBPL 28350 ",Recommended prerequisite courses: Microeconomics and econometrics. Students in their last years will be given priority. ,A. Adukia
ECON 16950,"The goals of this course are to introduce you to key concepts in the study of conflict, and to help you develop the analytical skills you need to understand and assess key arguments advanced in this arena. Drawing primarily on economics and political science, as well as psychology, we will seek to understand: Why do human beings engage in acts of violence? How can armed groups compel atrocities? How do we prevent cycles of violence, and aid countries recovering from war? Specifically: We will examine the role of economic shocks and ethnic divisions on civil war. We will also discern whether similar factors explain the rise of terrorism. In addition, we will study the consequences of conflict on socio-economic development, and examine the role of foreign aid and post-conflict reconciliation in helping countries recover from conflict. The class will examine these questions while focusing on analytical skills needed to understand cutting edge research in this area. Thus a major emphasis of the course is on learning how to think critically about empirical evidence, and learning the methods used in quantitative empirical analysis, such as fixed effects models, differences-in-differences research designs, and instrumental variables estimation. It is ideal for students who want to learn substantively about conflict while developing an understanding of the methodology used to produce key empirical findings.",Winter ,"PBPL 28750, PLSC 28750 ",,Oeindrila Dube
ECON 17710,"This course analyzes the economics of health care markets and the way regulations impact those markets.  We will study  the unique institutional arrangements found in the health care sector (primarily, though not exclusively, in the United States) and examine how market forces manifest themselves in this setting.  We will consider the behavior of health care providers, insurers' roles both as intermediaries and risk managers, patients' health care demand, and geographic differences in medicine.  The study of government regulations, including their theoretical and empirical impacts on health care markets, will be integrated throughout these topics.",Autumn ,"PPHA 37820, PBPL 28335 ",,"Gottlieb, J"
ECON 20770,"This course provides a formal introduction to game theory with applications in economics. We will study models of how individuals make decisions, and how those decisions are shaped by strategic concerns and uncertainty about the world. The topics will include the theory of individual choice, games of complete and incomplete information, and equilibrium concepts such as Nash equilibrium. The applications will include oligopoly, auctions, and bargaining. The course is appropriate for advanced undergraduates who are interested in a rigorous mathematical approach to understanding human behavior.",TBD ,ECMA 30770 ,"Prerequsites for Undergraduates: ECON 20100/ECON 20110 and MATH 20300/MATH 20310/MATH 20700, or consent of instructor ",B. Brooks
ECON 20780,"We continue the formal introduction to decision theory and game theory begun in ECMA 30780, with a specific focus on models of incomplete information. Topics covered include subjective expected utility, Bayesian games, contract theory, and mechanism design. Among the applications we will consider are auctions, collusion, entry deterrence, and strategic communication. The course is appropriate for advanced undergraduates who are interested in a rigorous mathematical approach to decision making in strategic situations.",TBD ,ECMA 30780 ,ECON 20770/ECMA 30770 or consent of instructor ,B. Brooks
ECON 22030,"This course provides an overview of the Chinese economy, with two main focuses. First, we will review the significant reforms that happened in China in the past four decades, which fundamentally reshaped the modern China as we see today. Second, we will discuss some of China's key political and economic institutions, and their implications on China and the rest of the world. Throughout the course, special emphasis will be given to the role of the state in China's growth experience, at both the central- and local-levels.",Spring ,"PBPL 25585, PPHA 35585 ",,"Wang, S"
ECON 26920,"The standard theory of rational choice exhibits explanatory power in a vast range of circumstances, including such disparate decision making environments as whether to commit a crime, have children, or seek to emigrate. Nonetheless, shortfalls from full rationality seem not to be uncommon, and are themselves, to some extent, systematic. Behavioral economics documents and tries to account for these departures from full rationality. This course looks at areas in which some modification of the traditional rational choice apparatus might most be warranted; these include decisions that unfold over time, involve low probability events, or implicate willpower. To what extent should public policy respond to shortfalls from rationality or concern itself with promoting happiness?",Autumn ,PBPL 28805 ,,J. Leitzel
ECON 27000,"This course covers international economics with an emphasis on international trade. The basic theories of international trade are introduced and used to analyze welfare and distributional effects of international trade, government policies, and technology diffusion. In addition, this course also discusses the main empirical patterns of international trade and international investment.",Winter ,PBPL 27000 ,ECON 20100/20110 ,F. Tintelnot
ECON 27700,"This course analyzes the economics of health and medical care in the United States with particular attention to the role of government. The first part of the course examines the demand for health and medical and the structure and the consequences of public and private insurance. The second part of the course examines the supply of medical care, including professional training, specialization and compensation, hospital competition, and finance and the determinants and consequences of technological change in medicine. The course concludes with an examination of recent proposals and initiatives for health care reform. Must have completed PPHA 32300 Principles of Microeconomics and Public Policy I or equivalent to enroll.",Spring ,"PPHA 38300, CCTS 38300, PBPL 28300 ",PBPL 20000 or ECON 20000 and one undergraduate course in quantitative research methods (Statistics or Econometrics) or the equivalent or consent of the instructor ,"Meltzer, D"
ECON 28030,"This is an applied industrial organization course that examines economically regulated market structures. We will analyze: a) types of market structures that particularly generate economic regulation; b) common methods used by regulatory agencies given a particular market structure; and c) models of the supply of and the demand for regulation of markets, with emphasis on maximizing behavior on the part of both suppliers (regulators) and demanders (firms, consumers, political representatives). We will focus on non-financial markets, as financial markets are well-covered in other courses.",Autumn ,PBPL 28670 ,PQ: PBPL 20000 or equivalent ,Kathryn Ierulli
ECON 28620,"The economic system prevailing in most of the world today differs greatly from the idealist version of free markets generally taught in economic classes. This course analyzes the role played by corporate governance, wealth inequality, regulation, the media, and the political process in general in producing these deviations. It will explain why crony capitalism prevails in most of the world and why it is becoming more entrenched also in the United States of America. The course, which requires only basic knowledge of economics, welcomes undergraduates. This is a cross-listed course offered under BUSN 35225 for Booth students and ECON 28620 for non-Booth students. Booth students will bid on BUSN 35225. Non-Booth student can register under ECON 28620 or, if space is available, enroll via the non-Booth registration process for BUSN 35225.ECON 28620 is not eligible for pass/fail.",Spring ,BUSN 35225 ,,L. Zingales
ECON 28700,"This course uses theoretical and empirical economic tools to analyze a wide range of issues related to criminal behavior. Topics include the police, prisons, gang behavior, guns, drugs, capital punishment, labor markets and the macroeconomy, and income inequality. We emphasize the analysis of the optimal role for public policy.",,PBPL 23200 ,"ECON 20100/20110; STAT 23400, ECON 21010, or ECON 21020 strongly recommended ",S. Levitt 
ENGL 10620,"This class explores the connections between imaginative writing and embodiment, especially as bodies have been understood, cared for, and experienced in the framework of medicine. We'll read texts that address sickness, healing, diagnosis, disability, and expertise. The class also introduces a number of related theoretical approaches, including the medical humanities, disability studies, narrative medicine, the history of the body, and the history of science. (Theory)",Autumn ,"HLTH 26020, GNSE 20620 ",,Julie Orlemanski
ENGL 12125,"In this interdisciplinary seminar, we will explore representations and expressions of queer and trans lives across the twentieth and twenty-first centuries. Assembling a diverse archive of artistic works and cultural artifacts (fiction, memoir, film, lyric poetry, anthology, activist ephemera) together with foundational works in the study of sexuality and gender, we will ask: How do hegemonic institutions, discourses, and definitions - from medical models of pathology to hostile bureaucratic infrastructure - shape the expressive forms available to queer and trans people? And how does the literary, artistic, and activist work of queer and trans people work in turn to reshape those very expressive possibilities? How can individual experiences of isolation and marginalization form the basis of a community or subculture? How are erotic creativity, imaginative life, and political action linked?  Our readings will introduce a range of critical and creative methods - such as oral history, ethnography, autobiography, performance - that scholars and artists have used to theorize and represent queer life. Through short ""micro-assignments,"" we will try out these methods for ourselves. By interweaving the creative work of queer and trans people and communities with practical experiments in research and making, we will aim to broaden our collective understanding of what it might mean to ""live queer."" (Previous experience in gender and sexuality studies is not required for this course.)",Spring ,GNSE 12125 ,,Sarah McDaniel
ENGL 12704,"A writing-intensive course in persuasive techniques that influence opinions and attempt to change behavior. This year our focus will be on an issue that presents a challenge for persuasion theory: the environment. People are notoriously slow to change their beliefs and behavior on environmental issues, and persuasion theory suggests reasons why this might be the case. Environmental problems ask readers to weigh costs that affect one group against benefits that might accrue to someone else. They involve time frames ranging from moments (which are easy to think and write about) to millennia (not so easy) to geological epochs, a time scale so remote from our experience as to be opaque to the imagination. Environmental problems are complex in ways that make them difficult to capture in a coherent, emotionally compelling narrative. Many individually innocuous and seemingly unrelated environmental events can converge over time to produce consequences that are counter-intuitively larger and graver than their causes. This felt disparity between actions and outcomes can violate an audience's sense of fairness, biasing the audience against a persuasive appeal.",Spring ,"ENGL 32704, ENST 12704, CEGU 22704 ",,Tracy Weiner
ENGL 13000,"Academic and Professional Writing, a.k.a. ""The Little Red Schoolhouse""or ""LRS"" (English 13000/33000) is an advanced writing course for third- and fourth-year undergraduates who are taking courses in their majors or concentrations, as well as graduate students in all of the divisions and university professional programs. LRS helps writers communicate complex and difficult material clearly to a wide variety of expert and non-expert readers. It is designed to prepare students for the demands of academic writing at various levels, from the B.A. thesis to the academic article or book--and for the tasks of writing in professional contexts.",Spring Winter ,ENGL 33000 ,Third- or fourth-year standing ,"L. McEnerney, K. Cochran, T. Weiner"
ENGL 13512,"This course focuses on the future as imagined by American science fiction of the 20th century.  On the one hand, we will pay attention to the scientific, political, and cultural contexts from which particular visions of the future emerged; on the other, we will work to develop an overarching sense of science fiction as a genre.  We will deploy different analytical paradigms (Formalist, Marxist, Feminist, &c.) to apprehend the stakes and the strategies for imagining future worlds.  After some initial attention to the magazine and pulp culture that helped to establish the genre, we will spotlight major SF movements (Afro Futurism, Cyberpunk, Biopunk, etc.) and major authors (including Robert Heinlein, Philip K. Dick, Ursula K. Le Guin, Samuel R. Delaney, William Gibson, and Octavia Butler).  Finally, we will use this 20th-century history to think about 21st-century SF work in different media (e.g., film, radio, graphic narrative). (Fiction, Theory)",Winter ,"SIGN 26088, CCCT 13512 ",,Bill Brown
ENGL 13580,"This is a survey course that introduces students to the complex and uneven history of Asians in American from within a transnational context. As a class, we will look at Asian American texts and films while working together to create a lexicon of multilingual, immigrant realities. Through theoretical works that will help us define keywords in the field and a wide range of genres (novels, films, plays, and graphic novels), we will examine how Asia and Asians have been represented in the literatures and popular medias of America. Some of the assigned authors include, but are not limited to, Carlos Bulosan, Maxine Hong Kingston, Joy Kogawa, Fae Myenne Ng, Nora Okja Keller, Cathy Park Hong, Ted Chiang, and Yoko Tawada.",TBD ,"RDIN 13580, CRES 13580 ",,Mee-Ju Ro
ENGL 13590,"In this advanced undergraduate course, we will explore the relationship between race and time. How might a concept of time already be racialized? How does the racialized subject experience time? How might such a temporality be figured through literary narratives? We'll take up these and a host of other questions pertaining to the politics and poetics of time through a literary, theoretical, and cinematic study that asks us to think critically about schemas of time in the works of writers of colour. Some of the assigned authors and writers include, but are not limited to, Ted Chiang, Shani Mootoo, Toni Morrison, Octavia Butler, Jamaica Kincaid, Anna Lee Walters, Yoko Tawada, and Frantz Fanon.",Spring ,CRES 13590 ,,Mee-Ju Ro
ENGL 15004,"This course will survey literature shaped by the history of imperial conflict between Russia and ""The West,"" ultimately with a view to better understanding our current geopolitical situation and mediascape. The course will be anchored in the nineteenth century, focusing on writing related to the Crimean War (1853-6) and the long contest between Britain and Russia for domination in Central Asia and India known as ""The Great Game,"" but it will also provide a snapshot of Cold War cultural production, with an emphasis on ideological dissent among Black radicals and Russian emigres, before turning finally to our contemporary moment. (Fiction, 1830-1940)",Winter ,REES 15004 ,,Kevin King
ENGL 16500,"An exploration of some of Shakespeare's major plays from the first half of his professional career, when the genres in which he primarily worked were comedies and histories. Plays to be studied include The Comedy of Errors, The Taming of the Shrew, The Merchant of Venice, Measure for Measure, A Midsummer Night's Dream, Twelfth Night, Richard III, Richard II, and Henry V. Together, we will read some of Shakespeare's queerest and most delightful comedies in conversation with darker troubling plays that revolve around sexual violence, racism, nationalism, and political theory, and we will see how such topics put generic boundaries to the test. Valuing those classics for their timeless craft but also for the situated cultural horizon that they evidence, we will explore what it means to take comedy and history seriously. Three short papers will be required. (Pre-1650, Drama, 1650-1830)",Autumn ,"TAPS 28405, FNDL 21403 ",General education requirement in the humanities. ,Noémie Ndiaye
ENGL 16600,"This course explores mainly major plays representing the genres of tragedy and romance; most (but not all) date from the latter half of Shakespeare's career. After having examined how Shakespeare develops and deepens the conventions of tragedy in Hamlet, Othello, Macbeth, King Lear, and Antony and Cleopatra, we will turn our attention to how he complicates and even subverts these conventions in The Winter's Tale and Cymbeline. Throughout, we will treat the plays as literary texts, performance prompts, and historical documents. Section attendance is required. (Pre-1650, Drama)",Autumn ,"TAPS 28406, FNDL 21404 ",,Timothy Harrison
ENGL 17950,"This course offers an extended investigation of the origins, meanings, and legacies of one of the most consequential documents in world history: the Declaration of Independence. Primary and secondary readings provide a series of philosophical, political, economic, social, religious, literary, and legal perspectives on the text's sources and meanings; its drafting, circulation, and early reception in the age of the American Revolution; and its changing place in American culture and world politics over nearly 250 years. (1650-1830, 1830-1940)In addition to the noted class times, there will also be discussion sections to be scheduled once the class begins.",Winter ,"FNDL 27950, SIGN 26039, HMRT 17950, LLSO 27950, HIST 17604 ",,Eric Slauter
ENGL 18108,"How do cultural products facilitate, abet, and enable the form of social ordering that we call policing? This course will explore the policing function of what modernity calls ""culture"" by exploring the parallel histories of policing, the emergence of modern police theory, and the rise of the novel. We will focus in particular on how both literature and the police emerge to navigate a series of linked epistemological and political problematics: the relation between particularity and abstraction, the relation between deviance and normalcy, and indeed that of authority as such. While we will focus on texts from the eighteenth- and nineteenth-century Atlantic world, students with a broader interest in policing are encouraged to enroll. Readings will include Aphra Behn, Daniel Defoe, Henry Fielding, G.W.F. Hegel, Louis Althusser, and Michel Foucault, in addition to historical documents including gallows narratives, newspapers, and early theorizations of the police concept. (Fiction, 1650-1830, 1830-1940, Theory)",Autumn ,CRES 18108 ,This is a research and criticism seminar intended for third-year English majors. ,Christopher Taylor
ENGL 18250,"Major works of poetry, fiction, drama, and film. In literature, the course ranges from Jonathan Swift and Maria Edgeworth to Seamus Heaney and Anna Burns, and, in cinema, from silent film to Neil Jordan and Lenny Abramson. Literature and cinema are intertwined through all the weeks of the quarter in various connections (including Hitchcock's adaptation of O'Casey's JUNO AND THE PAYCOCK).(Fiction, Poetry, Drama, 1650-1830, 1830-1990)",Autumn ,CMST 21650 ,,Jim Chandler
ENGL 18600,"Slavoj Zizek has used film as the great expositor of his theories of ideology, perversion, sexuality, politics, nostalgia, and otherness. In this discussion-heavy course we will watch a lot of film from the directorial subjects of his main discussions (Chaplin, Rossellini, Lynch, Haneke, Kieślowski, Tarkovsky, von Trier, Hitchcock, and others) alongside Zizek's theoretical writings on their film. The course examines why for the man who has been called the ""Elvis of cultural theory"" film is such a perfect lens through which to examine social situatedness and intersubjective ""aporia."" There is no ""paperwork"" assigned for the course. The course is conducted seminar style and participants are expected to be vocal, prepared, and somewhat ornery.",,CMST 27201 ,,M. Sternstein 
ENGL 19205,"Cupboards and attics, nests and shells, the inside of a bush, the bottom of a rowboat: for the 20th century philosopher Gaston Bachelard, intimate ""fibred"" spaces like these have a special relation to childhood-both as it is experienced and as it is remembered. Taking the lead from Bachelard this course investigates the construction, beginning in the eighteenth century, of childhood as a particular kind of place, one that might be imaginatively accessed through poetic images, rhythm, and rhyme. Our readings will come from the eighteenth and nineteenth centuries-that is, from the birth of children's literature to its ""golden age""-and will take us from the nursery rhymes and cradle songs of early children's poetry collections, through William Blake's ""forests of the night,"" and to the wonderland of Lewis Carroll's Alice books. (Poetry, 1650-1830, 1830-1990)",Spring ,GNSE 19205 ,,Alexis Chema
ENGL 19500,"This course examines the major works-novels, political treatises, letters, travel essays-of two of Romanticism's most influential women writers. We will attend to historical, intellectual, and cultural contexts as well as matters of literary concern, such as their pioneering development of modes like gothic and science/speculative fiction, Wollstonecraft's stylistic theories, and Shelley's scenes of imaginative sympathy. (Fiction, 1650-1830).",Spring ,"GNSE 19500, FNDL 29501 ",,Alexis Chema
ENGL 19960,"This course examines the centrality of normativity to our conceptions of funniness, reading theories of comedy alongside stand-up, sitcoms, dramedy, and romantic comedy. We will ask: in what ways do comedic formulas establish ideas of the ""normal"" in order to subvert (or perhaps reinforce) them? How, does comedy about the ""strange""-as the foreign, the queer, the excessive or the abject-reframe structures of sociality often taken for granted, forcing us to grapple with questions of citizenship and belonging, gendered and sexual norms, racialization and power? In addition to theories of comedy and joke theory, students will analyze theoretical works on race, gender and sexuality alongside popular television series, talk shows, and comedy specials. Possible texts and comics include: Chewing Gum, Fleabag, Insecure, Reservation Dogs, Ramy, Atlanta, Awkwafina is Nora from Queens, Julio Torres, Hasan Minhaj, Ali Wong, Jacqueline Novak, Dave Chappelle, Hannah Gadsby, and Ronny Chieng. (Theory, 1830-1940)",Spring ,"ENGL 39960, CRES 19960, GNSE 19960 ",,Shirl Yang
ENGL 20161,"This class will read US novels and short stories by African-American, American Indian, Asian-American, and Latinx writers from the last twenty years to conceptualize the shifting categories of race and ethnicity, paired with critical and theoretical works in critical cultural race studies. (20th/21st)",Winter ,"AMER 40161, ENGL 40161, CRES 40161, MAPH 40161, CRES 22161 ",,Megan Tusler
ENGL 20170,"In this class, we'll examine the notions of kinship and care, analyzing them both as conceptual frameworks and as concrete forms of being-together in human and more-than-human relations. Kinship and care are uncertain territories, fluctuating and dynamic; sites of possibility and futurity. Kin-making and care-giving practices reveal existing structures of oppression as well as the utopian possibilities within relation. We'll spend much of our time engaging with a set of ""experiments"" or case studies-historical, science fictional, and critical accounts of community-to see how connection appears as a mode of resistance or survival. Throughout, our collective goal will be to think together about living together. Readings may include SF from Octavia Butler, Claire Coleman, Ursula Le Guin, Wu Ming-Yi; theoretical and critical work from Sara Ahmed, Leela Gandhi, Donna Haraway, Laura Harjo, Saidiya Hartman, Kara Keeling, Audre Lorde, José Esteban Muñoz, Maria Puig de la Bellacasa, Dean Spade, Kim Tallbear, Anna Tsing.",Winter ,"ENGL 40170, MAPH 40170, GNSE 21170, GNSE 41170 ",,William Hutchison
ENGL 20171,"Science fiction allows encounters with other beings that variously encourage or strain the bonds of kinship, and many of those beings are related to entities with whom we already share a world. From companion animals and modified humans to starfish and androids, estrangement from familiar categories allows us to trouble assumptions about the certainty of species, the superiority of consciousness, and what care looks like in relation with those who may not respond to, recognize, or return care in familiar ways. In this class, we'll look at relations with the more-than-human in the context of urgent and emergent lived experience, in which social, political, and environmental realities require a response that thinks beyond entrenched approaches and takes wild and revolutionary imagination as a reparative possibility. We'll explore these and other questions through science fiction novels, poetry, graphic novels, music, and video (by Octavia Butler, Ursula Le Guin, Vonda McIntyre, Janelle Monae, Grant Morrison, Margaret Rhee, and others). We'll engage with theoretical work on topics including multispecies kinship, race and technology, and non-conscious/non-biological life (by Karen Barad, Beth Coleman, Wendy Chun, Donna Haraway, N. Katherine Hayles, Shannon Mattern, Sophia Roosth, Alan Turing, and others). [Note: this class pairs well with ""Rocks, plants, ecologies: science fiction and the more-than-human"" offered in Spring, and may also be taken as a stand-alone course.]",Winter ,"MAAD 25171, MAPH 40171, ENGL 40171 ",,William Hutchison
ENGL 20180,"This course examines imaginative works by women that take on the task of representing divine or supernatural being from the medieval era to the present. Drawing on the work of critics such as Luce Irigaray, Caroline Walker Bynum, and Judith Butler, we explore what strategies these writers employ to depict an entity simultaneously understood to be unrepresentable and to have a masculine image. Texts range from premodern mystics such as Julian of Norwich and Teresa of Avila to Octavia Butler's Parable of the Sower. (Med/Ren)",Winter ,"ENGL 40180, GNSE 45180, MAPH 40180, GNSE 25180 ",,Sarah Kunjummen
